-1,-275215,63611421384,4136,4136,4136,4136,20079689637,0,0,0,0,0,0,0
0,3,87860,42,42,42,42,27816,0,0,0,0,0,0,0
-1,-204,1298,-2409,-2409,-2409,-2409,3348,0,0,0,0,0,0,0
0,46,-1058342,498,498,498,498,-333113,0,0,0,0,0,0,0
0,46,-1058342,498,498,498,498,-333113,0,0,0,0,0,0,0
0,46,-1058342,498,498,498,498,-333113,0,0,0,0,0,0,0
0,46,-1058342,498,498,498,498,-333113,0,0,0,0,0,0,0
0,623,-5400,7350,7350,7350,7350,-3466,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
