-0.000153,0.000205,-0.000051,-0.000288,-0.000102,0.000049,-0.000240,-0.000067,0.000029
-0.000095,0.000079,-0.000289,-0.000001,-0.000075,0.000319,-0.000213,-0.000301,0.000022
-0.000236,-0.000237,0.000274,-0.000045,0.000452,-0.000644,-0.000292,0.000843,-0.000280
0.000159,0.000123,0.000734,0.000015,0.000422,-0.000009,0.000320,0.000392,-0.000300
-0.000011,-0.000130,0.000263,0.000086,0.000192,-0.000339,0.000074,0.000418,-0.000172
-0.000216,-0.000210,0.000284,-0.000018,0.000376,-0.000598,-0.000224,0.000787,-0.000287
0.000177,0.000126,0.000699,0.000030,0.000390,0.000037,0.000334,0.000327,-0.000280
0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
0.000001,-0.000000,0.000001,0.000000,-0.000000,0.000000,0.000002,0.000001,-0.000000
-0.000001,0.000000,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,-0.000001
-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
-0.000002,0.000001,-0.000000,-0.000000,0.000001,-0.000001,-0.000002,0.000001,-0.000001
-0.000000,0.000001,0.000001,0.000000,0.000000,-0.000001,0.000000,0.000000,-0.000000
